id,AA,b,bs,el,f,g,j,k,l,tf,room,living,toilet,p
42,1,1,0.6007,1,30,28.0,2,1,0,36,2,2,1,363580
44,1,4,0.6962999999999999,1,3,26.0,1,1,0,8,3,2,2,340228
45,2,1,0.6820999999999999,1,14,26.0,2,1,0,17,4,2,2,465967
46,1,2,0.8532,0,3,35.0,1,1,0,5,3,2,2,360555
47,1,1,0.6720999999999999,1,3,29.0,1,1,0,16,2,1,1,542456
49,1,1,0.7062,1,23,29.0,1,1,0,25,2,2,1,531765
50,2,1,0.6877,1,13,26.0,2,1,0,16,1,1,1,556162
52,1,1,0.436,1,3,9.0,1,1,1,15,3,2,1,547752
53,1,4,0.6420999999999999,1,1,31.0,1,1,1,6,4,2,2,390843
55,1,1,0.6740999999999999,1,3,13.0,1,1,0,29,1,1,1,669187
56,1,1,0.762,1,9,30.0,1,1,2,19,3,2,2,605488
57,1,4,0.6187,1,7,29.0,1,1,1,7,3,2,2,338641
58,1,1,0.6666,1,12,28.0,2,1,0,16,2,1,1,574056
